year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
2005,The Descent,pass,pass,8.35,31.05,68.04,99,116902,71,7.3,R,English,UK,Neil Marshall,Neil Marshall,"Adventure, Horror","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
2005,The Exorcism of Emily Rose,pass,pass,21.47,89.56,172.5,119,71575,46,6.7,PG-13,"English, Syriac, German, Greek, Hebrew, Latin, Aramaic",USA,"Paul Harris Boardman, Scott Derrickson",Scott Derrickson,"Crime, Drama, Horror",A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.
2005,The Fog,pass,pass,21.47,35.21,44.2,100,25481,27,3.5,PG-13,English,USA,"Cooper Layne (screenplay), John Carpenter, Debra Hill",Rupert Wainwright,Horror,"The inhabitants of Antonio Island, off the coast of Oregon, are about to unveil a statue honoring the four men (Castle, Wayne, Williams and Malone) who founded their town in 1871. Nick ..."
2005,The Island,pass,pass,143.16,42.73,194.49,136,217914,50,6.9,PG-13,English,USA,"Caspian Tredwell-Owen (screenplay), Alex Kurtzman (screenplay), Roberto Orci (screenplay), Caspian Tredwell-Owen (story)",Michael Bay,"Action, Adventure, Sci-Fi","A man goes on the run after he discovers that he is actually a ""harvestable being"", and is being kept as a source of replacement parts, along with others, in a Utopian facility."
2005,The Ring Two,pass,pass,59.65,90.6,193.2,110,55683,44,5.3,PG-13,English,USA,"Ehren Kruger, Kôji Suzuki (novel), Hiroshi Takahashi",Hideo Nakata,"Horror, Mystery, Thriller","Six months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness."
2005,The Skeleton Key,pass,pass,47.72,57.16,110.07,104,71114,47,6.5,PG-13,"English, French","USA, Germany",Ehren Kruger,Iain Softley,"Drama, Mystery, Thriller",A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.
2005,The Wedding Date,pass,pass,17.9,37.85,56.28,90,28582,32,6,PG-13,English,USA,"Elizabeth Young (book), Dana Fox (screenplay)",Clare Kilner,"Comedy, Romance","Single-girl anxiety causes Kat Ellis (Messing) to hire a male escort (Mulroney) to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing."
2005,Transamerica,pass,pass,1.19,10.76,19.75,103,32025,66,7.5,R,"English, Spanish",USA,Duncan Tucker,Duncan Tucker,"Adventure, Comedy, Drama","A pre-operative male-to-female transsexual takes an unexpected journey when she learns that she fathered a son, now a teenage runaway hustling on the streets of New York."
2005,V for Vendetta,pass,pass,59.65,84.12,154.18,132,557149,62,8.2,R,English,"USA, UK, Germany","Andy Wachowski (screenplay), Lana Wachowski (screenplay), David Lloyd (graphic novel art)",James McTeigue,"Action, Sci-Fi, Thriller","In a future British tyranny, a shadowy freedom fighter plots to overthrow it with the help of a young woman."
2005,Waiting...,pass,pass,1.34,19.24,22.28,94,66392,30,6.8,R,"English, German",USA,Rob McKittrick,Rob McKittrick,Comedy,Young employees at Shenaniganz restaurant collectively stave off boredom and adulthood with their antics.
2005,Walk the Line,pass,pass,34.6,142.59,223.94,136,156143,72,7.9,PG-13,"English, Russian","USA, Germany","Johnny Cash (book), Johnny Cash (book), Gill Dennis, James Mangold",James Mangold,"Biography, Drama, Music","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins."
2005,Water,pass,pass,3.58,6.6,9.69,117,10623,77,7.8,PG-13,"Hindi, Sanskrit","Canada, India","Anurag Kashyap (dialogue), Deepa Mehta",Deepa Mehta,"Drama, Romance","The film examines the plight of a group of widows forced into poverty at a temple in the holy city of Varanasi. It focuses on a relationship between one of the widows, who wants to escape the social restrictions imposed on widows, and a man who is from the highest caste and a follower of Mahatma Gandhi."
2006,Clerks II,dubious,fail,5.78,27.91,29.93,97,98374,65,7.5,R,English,USA,Kevin Smith,Kevin Smith,Comedy,"A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire."
2006,Inside Man,dubious,fail,57.79,102.44,213.4,129,217773,76,7.7,R,"English, Albanian",USA,Russell Gewirtz,Spike Lee,"Crime, Drama, Thriller","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
2006,Sherrybaby,dubious,fail,2.31,0.23,0.72,96,9078,66,6.7,R,English,USA,Laurie Collyer,Laurie Collyer,Drama,Sherry tries to integrate again into society and become a good mother.
2006,The Fountain,dubious,fail,40.45,11.72,17.87,96,155096,51,7.4,PG-13,"English, Maya","USA, Canada","Darren Aronofsky (screenplay), Darren Aronofsky (story), Ari Handel (story)",Darren Aronofsky,"Drama, Romance, Sci-Fi","Spanning three parallel stories over a millennium, 'The Fountain' is a story of love, death, spirituality, and the fragility of our existence in this world."
2006,The Lake House,dubious,fail,46.23,60.48,132.72,99,91915,52,6.8,PG,English,"USA, Australia","David Auburn (screenplay), Eun-Jeong Kim (motion picture ""Siworae""), Ji-na Yeo (motion picture ""Siworae"")",Alejandro Agresti,"Drama, Fantasy, Romance","A lonely doctor who once occupied an unusual lakeside home begins exchanging love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late."
2006,The Painted Veil,dubious,fail,22.42,9.32,17.47,125,64691,69,7.5,PG-13,"Mandarin, English, French","China, USA, Canada","Ron Nyswaner (screenplay), W. Somerset Maugham (novel)",John Curran,"Drama, Romance","A British medical doctor fights a cholera outbreak in a small Chinese village, while also being trapped at home in a loveless marriage to an unfaithful wife."
2006,The Queen,dubious,fail,17.34,65.24,148.97,103,69213,91,7.4,PG-13,"English, German, French","UK, USA, France, Italy",Peter Morgan,Stephen Frears,"Biography, Drama","After the death of Princess Diana, HM Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted."
2006,Fido,men,fail,9.25,0.34,0.49,93,21602,70,6.8,R,English,Canada,"Robert Chomiak, Andrew Currie, Dennis Heaton, Dennis Heaton (original story)",Andrew Currie,"Comedy, Drama, Horror","Timmy Robinson's best friend in the whole wide world is a six-foot tall rotting zombie named Fido. But when FIDO eats the next-door neighbor, Mom and Dad hit the roof, and Timmy has to go ..."
2006,Lady in the Water,men,fail,86.68,48.87,84.12,110,67260,36,5.7,PG-13,English,USA,M. Night Shyamalan,M. Night Shyamalan,"Fantasy, Mystery, Thriller","Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world."
2006,Once,men,fail,0.17,10.92,21.96,85,68058,88,8,R,"English, Czech",Ireland,John Carney,John Carney,"Drama, Music, Romance","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
2006,Poseidon,men,fail,184.93,70.13,209.98,98,69675,50,5.6,PG-13,"English, Spanish",USA,"Mark Protosevich (screenplay), Paul Gallico (novel)",Wolfgang Petersen,"Action, Adventure, Drama","On New Year's Eve, the luxury ocean liner, Poseidon, capsizes after being swamped by a rogue wave. The survivors are left to fight for survival as they attempt to escape the sinking ship."
2006,The Ant Bully,men,fail,52.01,32.53,57.34,88,24802,59,5.9,PG,English,USA,"John A. Davis, John Nickle (book)",John A. Davis,"Animation, Adventure, Comedy","After Lucas Nickle floods an ant colony with his watergun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins."
2006,A Scanner Darkly,notalk,fail,23.12,6.36,8.56,100,73867,73,7.1,R,English,USA,"Philip K. Dick (novel), Richard Linklater (screenplay)",Richard Linklater,"Animation, Drama, Sci-Fi",An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.
2006,Blood Diamond,notalk,fail,115.58,66.32,198.08,143,290678,64,8,R,"English, Mende, Afrikaans","USA, Germany","Charles Leavitt (screenplay), Charles Leavitt (story), C. Gaby Mitchell (story)",Edward Zwick,"Adventure, Drama, Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,notalk,fail,20.8,148.53,302.32,84,242870,89,7.3,R,"English, Romanian, Hebrew, Polish, Armenian",USA,"Sacha Baron Cohen (screenplay), Anthony Hines (screenplay), Peter Baynham (screenplay), Dan Mazer (screenplay), Sacha Baron Cohen (story), Peter Baynham (story), Anthony Hines (story), Todd Phillips (story), Sacha Baron Cohen (based on a character created by)",Larry Charles,Comedy,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson."
2006,Cars,notalk,fail,80.91,282.11,533.59,117,168841,73,7.3,G,"English, Italian, Japanese, Yiddish",USA,"John Lasseter (original story by), Joe Ranft (original story by), Jorgen Klubien (original story by), Dan Fogelman (screenplay), John Lasseter (screenplay), Joe Ranft (screenplay), Kiel Murray (screenplay), Phil Lorin (screenplay), Jorgen Klubien (screenplay), Bonnie Hunt (additional screenplay material), Robert L. Baird (additional screenplay material), Daniel Gerson (additional screenplay material), Don Lake (additional screenplay material), Steve Purcell (additional screenplay material), Dan Scanlon (additional screenplay material)","John Lasseter, Joe Ranft","Animation, Adventure, Comedy","A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family."
2006,Casino Royale,notalk,fail,117.89,193.44,689.28,144,342173,81,8,PG-13,"English, French","UK, Czech Republic, USA, Germany, Bahamas","Neal Purvis (screenplay), Robert Wade (screenplay), Paul Haggis (screenplay), Ian Fleming (novel)",Martin Campbell,"Action, Crime, Thriller","Armed with a license to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale, but things are not what they seem."
2006,Eragon,notalk,fail,115.58,86.72,288.36,104,87646,38,5.1,PG,English,"USA, UK, Hungary","Peter Buchman (screenplay), Christopher Paolini (novel)",Stefen Fangmeier,"Action, Adventure, Family","In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king."
2006,Ice Age: The Meltdown,notalk,fail,86.68,225.76,753.46,91,131093,58,6.9,PG,English,USA,"Peter Gaulke (screenplay), Gerry Swallow (screenplay), Jim Hecht (screenplay), Peter Gaulke (story), Gerry Swallow (story)",Carlos Saldanha,"Animation, Action, Adventure","Manny, Sid, and Diego discover that the Ice Age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the wooly mammoths."
2006,Jackass Number Two,notalk,fail,12.71,84.12,98.56,92,46820,66,7.2,R,English,USA,"Jeff Tremaine (television series ""Jackass""), Spike Jonze (television series ""Jackass""), Johnny Knoxville (television series ""Jackass""), Preston Lacy (additional scenes)",Jeff Tremaine,"Documentary, Action, Comedy","Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before."
2006,Letters from Iwo Jima,notalk,fail,15.03,15.9,79.47,141,112489,89,8,R,"Japanese, English",USA,"Iris Yamashita (screenplay), Iris Yamashita (story), Paul Haggis (story), Tadamichi Kuribayashi (book), Tsuyoko Yoshido (book)",Clint Eastwood,"Drama, History, War","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
2006,Lucky Number Slevin,notalk,fail,31.21,26,64.14,110,216029,53,7.8,R,English,"Germany, USA",Jason Smilovic,Paul McGuigan,"Crime, Drama, Mystery",A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses: The Rabbi and The Boss. Slevin is under constant surveillance by relentless Detective Brikowski as well as the infamous assassin Goodkat and finds himself having to hatch his own ingenious plot to get them before they get him.
2006,Man of the Year,notalk,fail,23.12,43.28,47.78,115,23455,39,6.1,PG-13,English,USA,Barry Levinson,Barry Levinson,"Comedy, Drama, Romance","A comedian who hosts a news satire program decides to run for president, and a computerized voting machine malfunction gets him elected."
2006,Open Season,notalk,fail,98.24,98.36,219.49,83,48981,49,6.2,PG,English,USA,"Steve Bencich (screenplay), Ron J. Friedman (screenplay), Nat Mauldin (screenplay), Jill Culton (screen story), Anthony Stacchi (screen story), Steve Moore (original story), John B. Carls (original story), Sam Harper (additional story material), Dan Wilson (additional story material), David Gilbreth (additional story material)","Roger Allers, Jill Culton, Anthony Stacchi","Animation, Adventure, Comedy","Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters."
